type,origin,destination
body,0,1
body,1,2
body,2,3
body,3,4
body,1,5
body,5,6
body,6,7
left_hand,0,1
left_hand,1,2
left_hand,2,3
left_hand,3,4
left_hand,0,5
left_hand,5,6
left_hand,6,7
left_hand,7,8
left_hand,0,9
left_hand,9,10
left_hand,10,11
left_hand,11,12
left_hand,0,13
left_hand,13,14
left_hand,14,15
left_hand,15,16
left_hand,0,17
left_hand,17,18
left_hand,18,19
left_hand,19,20
right_hand,0,1
right_hand,1,2
right_hand,2,3
right_hand,3,4
right_hand,0,5
right_hand,5,6
right_hand,6,7
right_hand,7,8
right_hand,0,9
right_hand,9,10
right_hand,10,11
right_hand,11,12
right_hand,0,13
right_hand,13,14
right_hand,14,15
right_hand,15,16
right_hand,0,17
right_hand,17,18
right_hand,18,19
right_hand,19,20